layer,norm_trigger,sim_trigger,align_trigger,norm_freq_content,sim_freq_content,align_freq_content,norm_discourse,sim_discourse,align_discourse,norm_random,sim_random,align_random
0,1.4590702056884766,0.09815341979265213,0.11962426453828812,1.387381672859192,0.09592382609844208,0.13447025418281555,1.329717993736267,0.11772418022155762,0.14038629829883575,1.313301920890808,0.057465363293886185,0.1496284008026123
1,1.088985562324524,0.07959478348493576,0.10867786407470703,1.0425422191619873,0.09756481647491455,0.11808551102876663,1.0892796516418457,0.13480766117572784,0.11098750680685043,1.1019771099090576,0.15145564079284668,0.11613181233406067
2,0.897925615310669,0.12209611386060715,0.14034615457057953,0.9309946298599243,0.09755303710699081,0.1366327553987503,0.9352970123291016,0.19260166585445404,0.13605529069900513,0.948137640953064,0.09383547306060791,0.13888852298259735
3,0.76860511302948,0.15411776304244995,0.17067091166973114,0.7844377160072327,0.10599701851606369,0.1716907024383545,0.7506906390190125,0.14169171452522278,0.1699824333190918,0.7617027163505554,0.12643131613731384,0.18244165182113647
4,0.7565045952796936,0.15416571497917175,0.18200485408306122,0.7540363669395447,0.1024220660328865,0.18342238664627075,0.7188605070114136,0.1797114610671997,0.18373966217041016,0.749662458896637,0.1346231997013092,0.18704892694950104
5,0.7318207025527954,0.15127763152122498,0.19067563116550446,0.7479851841926575,0.11158207803964615,0.185297429561615,0.716424822807312,0.1737329363822937,0.18408924341201782,0.7340015172958374,0.13845773041248322,0.1920957714319229
6,0.5010302662849426,0.14578957855701447,0.13859550654888153,0.5078871846199036,0.09217224270105362,0.1397242397069931,0.49349844455718994,0.20021401345729828,0.13550503551959991,0.5107849836349487,0.1357411891222,0.1360745131969452
7,0.5143964290618896,0.14269614219665527,0.13526436686515808,0.5355260968208313,0.09288740158081055,0.13269604742527008,0.4991666078567505,0.18792186677455902,0.13284410536289215,0.5334087610244751,0.14337526261806488,0.1278265416622162
8,0.528076171875,0.14329126477241516,0.13143214583396912,0.5599100589752197,0.08515005558729172,0.127581387758255,0.5247431397438049,0.1895328164100647,0.12641607224941254,0.5644262433052063,0.1334025114774704,0.11899437010288239
9,0.5610506534576416,0.1520620584487915,0.12055805325508118,0.5964035391807556,0.09377139061689377,0.1257656365633011,0.5466639399528503,0.19284836947917938,0.11533743888139725,0.6032244563102722,0.13159935176372528,0.11563873291015625
10,0.5799417495727539,0.15663953125476837,0.116488017141819,0.6138678789138794,0.09384220838546753,0.12106428295373917,0.5702865123748779,0.19516389071941376,0.10936196148395538,0.6339254379272461,0.1475275456905365,0.11162646114826202
