rel_pos,loop_occ_mean,non_occ_mean,loop_top1,non_top1
-5,0.4852714187690366,0.5611190038428816,0.0,0.03076923076923077
-4,0.5600493288297459,0.523541017156172,0.0,0.010256410256410256
-3,0.4321257072646391,0.563705093030861,0.0,0.035897435897435895
-2,0.24915719363510566,0.5768226916319797,0.0,0.046153846153846156
-1,0.38709888097638345,0.5247799993854556,0.6,0.041025641025641026
0,0.7112196400706303,0.5716493369411895,0.0,0.046153846153846156
